Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Sexe;Nom;Prénom;Liste;Sieges;Voix;% Voix/Ins;% Voix/Exp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;232;Grenade;4575;1272;27,8;3303;72,2;177;3,87;5,36;3126;68,33;94,64;LDVG;M;VIZZINI;Jean-Marc;GRENADE EN MARCHE;6;1437;31,41;45,97;LDVG;M;ANDRE;Remy;UN NOUVEL IDEAL POUR GREN;23;1689;36,92;54,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;248;Labarthe-sur-Lèze;3612;1235;34,19;2377;65,81;92;2,55;3,87;2285;63,26;96,13;LSOC;M;BERAIL;Bernard;RESP DYNAMISME LABARTHE/L;22;1180;32,67;51,64;LDVG;F;PEYBERNARD;Nicole;CONSULTER, AGIR POUR LAB;1;278;7,7;12,17;LDVG;M;LAVAUD;Jean-Jacques;ENERGIES LABARTHE 2008;2;408;11,3;17,86;LDVD;M;BRUNO;Jean-Louis;NOUVEL AVENIR;2;419;11,6;18,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;395;Muret;15040;5083;33,8;9957;66,2;363;2,41;3,65;9594;63,79;96,35;LSOC;M;MANDEMENT;André;UN SOUFFLE NOUVEAU MURET;27;4996;33,22;52,07;LMAJ;M;BARRES;Alain;MURET UNE VILLE UNE VIE;8;4598;30,57;47,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;424;Plaisance-du-Touch;11462;4239;36,98;7223;63,02;147;1,28;2,04;7076;61,73;97,96;LEXG;M;REQUENA;Raphaël;UN CONTRAT CITOYEN ;1;657;5,73;9,28;LSOC;M;ESCOULA;Louis;AGIR POUR PLAISANCE;25;3320;28,97;46,92;LMAJ;M;LACOINTA;Patrick;UNION MAJORITE PLAISANCE;4;1810;15,79;25,58;LDVD;M;LEGAY;Hervé;REINVENTONS PLAISANCE;3;1289;11,25;18,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;433;Portet-sur-Garonne;6374;1813;28,44;4561;71,56;185;2,9;4,06;4376;68,65;95,94;LUG;M;SUAUD;Thierry;PORTET ENSEMBLE;23;2462;38,63;56,26;LMC;M;GAUTIER;Eric;A PORTET DEMAIN;6;1914;30,03;43,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;446;Ramonville-Saint-Agne;9061;3618;39,93;5443;60,07;218;2,41;4,01;5225;57,66;95,99;LUG;M;LUBAC;Christophe;RAMONVILLE POUR TOUS;27;3285;36,25;62,87;LMAJ;M;ZENNARO;Olivier;ENSEMBLE POUR RAMONVILLE ;6;1940;21,41;37,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;499;Saint-Lys;5056;1316;26,03;3740;73,97;165;3,26;4,41;3575;70,71;95,59;LDVG;M;TENE;Jacques;SAINT-LYS AVEC VOUS ;23;1985;39,26;55,52;LDVD;M;LASSEUBE;Patrick;DYNAMISME ET QUALITE VIE;6;1590;31,45;44,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;506;Saint-Orens-de-Gameville;8287;1950;23,53;6337;76,47;150;1,81;2,37;6187;74,66;97,63;LUG;M;SEMPE;Christian;AGIR ENSEMBLE SAINT ORENS;26;3390;40,91;54,79;LDVD;M;DEL BORRELLO;Marc;SAINT-ORENS AUTREMENT;7;2797;33,75;45,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;526;La Salvetat-Saint-Gilles;4798;1726;35,97;3072;64,03;100;2,08;3,26;2972;61,94;96,74;LUG;M;DAUVEL;Philippe;LA SALVETAT AUTREMENT;23;1598;33,31;53,77;LDVG;F;ANDRAU;Eliane;BIEN VIVRE A LA SALVETAT;4;881;18,36;29,64;LDVD;M;CESSES;Jean-Louis;TOUS ENSEMBLE;2;493;10,28;16,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;555;Toulouse;242961;93616;38,53;149345;61,47;3726;1,53;2,49;145619;59,94;97,51;LUG;M;COHEN;Pierre;TOULOUSE RASSEMBLEE;52;73414;30,22;50,42;LMC;M;MOUDENC;Jean-Luc;TOULOUSE POUR TOUS OSONS ;17;72205;29,72;49,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;HAUTE GARONNE;584;Villemur-sur-Tarn;4096;983;24;3113;76;88;2,15;2,83;3025;73,85;97,17;LDVG;M;BETIRAC;Patrice;VILLEMUR UN COEUR QUI BAT;1;372;9,08;12,3;LMC;M;BOUDET;Jean-Claude;REUSSIR VILLEMUR;21;1497;36,55;49,49;LDVD;M;DUMOULIN;Jean-Marc;ENSEMBLE ALLONS PLUS LOIN;5;1156;28,22;38,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;GERS;13;Auch;15164;5828;38,43;9336;61,57;442;2,91;4,73;8894;58,65;95,27;LUG;M;MONTAUGE;Franck;'AUCH VILLE D''AVENIR';29;5523;36,42;62,1;LMAJ;M;SANTISTEVA;Henri;AUCH ENSEMBLE AUTREMENT;2;1098;7,24;12,35;LDVD;M;TABARIN;Pierre;AUCH LA VIE;4;2273;14,99;25,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;GERS;107;Condom;5237;934;17,83;4303;82,17;123;2,35;2,86;4180;79,82;97,14;LSOC;M;GALLARDO;Bernard;AGIR POUR CONDOM;22;1827;34,89;43,71;LDVG;M;PINSON;Alain;CITOYENNE AUTREMENT;1;344;6,57;8,23;LMAJ;M;DUBRAC;Gérard;SOLIDAIRE-AVENIR PR TOUS;6;1813;34,62;43,37;LDVD;F;DUBOS;Françoise;CONDOM POUR TOUS;0;196;3,74;4,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;19;Audenge;4190;1178;28,11;3012;71,89;115;2,74;3,82;2897;69,14;96,18;LSOC;F;LE YONDRE;Nathalie;AUDENGE AVANCE;21;1289;30,76;44,49;LDVD;M;DULAS ;Jean-Claude;AUDENGE PASSION BON SENS;6;1234;29,45;42,6;LDVD;M;PEYSERRE;Claude;LISTE ENSEMBLE POUR AUDEN;2;374;8,93;12,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;36;Bazas;3346;771;23,04;2575;76,96;174;5,2;6,76;2401;71,76;93,24;LGC;F;METTE;Sophie;REUNIS POUR REUSSIR;6;1148;34,31;47,81;LMC;M;BOSSET;Bernard;BAZAS... INTENSEMENT;21;1253;37,45;52,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;51;Biganos;6415;1710;26,66;4705;73,34;93;1,45;1,98;4612;71,89;98,02;LSOC;M;BURGUIERE;Jérôme;'BIGANOS, LA VOLONTE D''AGI';4;1390;21,67;30,14;LDVG;M;LAFON;Bruno;BIGANOS AVEC VOUS;21;1893;29,51;41,05;LDVG;F;GALLOUX;Martine;BIGANOS PASSION COMMUNE;4;1329;20,72;28,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;138;Coutras;5750;1626;28,28;4124;71,72;93;1,62;2,26;4031;70,1;97,74;LUG;F;ARNAUD;Marie-Claire;UN NOUVEAU SOUFFLE ;23;2180;37,91;54,08;LDVG;M;SAUVAGE;Régis;'COUTRAS, C''EST VOUS';1;474;8,24;11,76;LMAJ;M;SOU;Gilbert;PLUS BELLE LA VILLE;5;1377;23,95;34,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;200;Le Haillan;6357;2046;32,18;4311;67,82;87;1,37;2,02;4224;66,45;97,98;LSOC;M;LABISTE;Bernard;'CONTINUONS POUR L''AVENIR';22;1982;31,18;46,92;LDVG;M;DULOUT;Roger;LE HAILLAN POUR TOUS;1;536;8,43;12,69;LMAJ;M;PECOUT;Laurent;LE HAILLAN EN MOUVEMENT;6;1706;26,84;40,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;214;Lacanau;3816;971;25,45;2845;74,55;64;1,68;2,25;2781;72,88;97,75;LSOC;M;SORIA;Olivier;'CONSTRUISONS L''AVENIR';2;441;11,56;15,86;LDVG;M;PEYRONDET;Laurent;VIVONS LACANAU;5;1070;28,04;38,48;LDVD;M;DAVID;Jean-Michel;POUR LACANAU AVEC J-M DAV;20;1270;33,28;45,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;240;Lesparre-Médoc;3529;1093;30,97;2436;69,03;58;1,64;2,38;2378;67,38;97,62;LUG;M;STORA;Patrick;PARTI SOCIALISTE, LISTE D;3;494;14;20,77;LDVG;M;GUIRAUD;Bernard;POURQUOI PAS ?;20;1058;29,98;44,49;LMAJ;M;'LE FLOC''H';Marcel;LESPARRE COEUR MEDOC AVEC;3;598;16,95;25,15;LDVD;M;JEANTET;Alain;UNION LESPARRE MEDOC;1;228;6,46;9,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;284;Mios;4521;1259;27,85;3262;72,15;93;2,06;2,85;3169;70,1;97,15;LUG;M;JIMENEZ;Jésus;AGIR ENSEMBLE POUR MIOS;2;501;11,08;15,81;LDVD;M;CAZIS;François;'LISTE D''UNION DEMOCRATIQU';21;1368;30,26;43,17;LDVD;M;LUCAS;Pierre;TOUS POUR MIOS;6;1300;28,75;41,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;312;Parempuyre;5254;1869;35,57;3385;64,43;102;1,94;3,01;3283;62,49;96,99;LDVG;M;PARTARRIEU;Patrick;ENSEMBLE, CHANGEONS PAREM;5;1113;21,18;33,9;LDVG;F;DE FRANCOIS;Béatrice;PAREMPUYRE VILLE VERTE ;20;1216;23,14;37,04;LMC;F;MENAUT;Sabine;PAREMPUYRE AVENIR;1;304;5,79;9,26;LDVD;F;LALANNE;Nicole;UNION POUR PAREMPUYRE (U.;3;650;12,37;19,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;314;Pauillac;3400;912;26,82;2488;73,18;43;1,26;1,73;2445;71,91;98,27;LSOC;M;HOURNAU;Sébastien;REUSSIR ENSEMBLE;22;1229;36,15;50,27;LDVG;M;BERNARD;Daniel;'PAUILLAC CITOYEN, L''AVENI';1;268;7,88;10,96;LDVD;M;LUDGER;Jean-Louis;CHANGER PAUILLAC AVEC NOU;6;948;27,88;38,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;397;Sainte-Eulalie;3154;940;29,8;2214;70,2;69;2,19;3,12;2145;68,01;96,88;LCOM;M;LAUR;Christian;ENSEMBLE POUR SAINTE EULA;5;848;26,89;39,53;LDVG;M;LAPORTE;Hubert;REUNIR POUR AGIR;22;1297;41,12;60,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;424;Saint-Laurent-Médoc;2943;740;25,14;2203;74,86;74;2,51;3,36;2129;72,34;96,64;LDVG;M;LAURENT;Henri;SAINT-LAURENT POUR TOUS E;5;846;28,75;39,74;LDVD;M;FERON;Jean-Marie;REAGIR  POUR AGIR;20;881;29,94;41,38;LDVD;M;MARCHANDIN;Daniel;UNE EQUIPE POUR LE RENOUV;2;402;13,66;18,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;449;Saint-Médard-en-Jalles;20000;6717;33,59;13283;66,42;536;2,68;4,04;12747;63,74;95,96;LSOC;M;LAMAISON;Serge;ENSEMBLE POUR NOTRE VILLE;27;6777;33,89;53,17;LMC;M;MANGON;Jacques;REUSSIR SAINT MEDARD AVEC;8;5970;29,85;46,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;522;Talence;21261;6915;32,52;14346;67,48;347;1,63;2,42;13999;65,84;97,58;LUG;M;SAVARY;Gilles;LISTE DE GAUCHE ET DE RAS;9;6818;32,07;48,7;LMC;M;CAZABONNE;Alain;ENSEMBLE VIVRE TALENCE;30;7181;33,78;51,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;GIRONDE;529;La Teste-de-Buch;16053;4581;28,54;11472;71,46;300;1,87;2,62;11172;69,59;97,38;NC;;;;;0;0;0;0;LEXG;;;;;0;0;0;0;LCOM;;;;;0;0;0;0;LUG;;;;;0;0;0;0;LSOC;;;;;7;5178;32,26;46,35;LVEC;;;;;0;0;0;0;LDVG;;;;;0;0;0;0;LGC;;;;;0;0;0;0;LAUT;;;;;0;0;0;0;LREG;;;;;0;0;0;0;LCMD;;;;;0;0;0;0;LMC;;;;;23;5994;37,34;53,65;LMAJ;;;;;0;0;0;0;LDVD;;;;;0;0;0;0;LFN;;;;;0;0;0;0;LEXD;;;;;0;0;0;0
33;GIRONDE;529SN01;La Teste-de-Buch Section 01;16053;4581;28,54;11472;71,46;300;1,87;2,62;11172;69,59;97,38;LSOC;M;ACOT-MIRANDE;Jean-François;LA TESTE EN MARCHE;7;5178;32,26;46,35;LMC;M;EROLES;Jean-Jacques;UN PROJET POUR LA TESTE;23;5994;37,34;53,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;3;Agde;20059;5264;26,24;14795;73,76;451;2,25;3,05;14344;71,51;96,95;LGC;M;MUR;Fabrice;AGDE A VENIR;8;6927;34,53;48,29;LMAJ;M;'D''ETTORE';Gilles;UNION AGATHOISE 2008;27;7417;36,98;51,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;23;Balaruc-les-Bains;5392;757;14,04;4635;85,96;133;2,47;2,87;4502;83,49;97,13;LDVG;M;CANOVAS;Gérard;BALARUC VILLE POUR TOUS;22;2312;42,88;51,35;LMAJ;M;SAUVAIRE;Didier;BALARUC PASSION AVENIR;7;2190;40,62;48,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;101;Florensac;3394;805;23,72;2589;76,28;55;1,62;2,12;2534;74,66;97,88;LSOC;M;GAUDY;Vincent;FLORENSAC DEMAIN;22;1357;39,98;53,55;LDVG;M;BOUIS;Roger;FLORENSAC POUR AVEC TOUS ;2;456;13,44;18;LDVD;M;BERTRAND;Alain;FLORENSAC AUTREMENT;2;392;11,55;15,47;LDVD;M;GUERIN;Bernard;FLORENSAC PASSION PARTAGE;1;329;9,69;12,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;113;Gigean;3659;900;24,6;2759;75,4;114;3,12;4,13;2645;72,29;95,87;LSOC;M;BARTHELEMY;Henri;GIGEAN QUAL VIE AMBITION;6;1261;34,46;47,67;LAUT;M;VEAUTE;Francis;GIGEAN AUTREMENT;21;1384;37,82;52,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;114;Gignac;3811;870;22,83;2941;77,17;105;2,76;3,57;2836;74,42;96,43;LSOC;M;JOVER;Jean-Marcel;'GIGNAC, TERRE D''AVENIR';21;1489;39,07;52,5;LDVG;M;SOTO;Jean-François;'L''AVENIR EN MARCHE';6;1347;35,35;47,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;116;Grabels;3962;1232;31,1;2730;68,9;93;2,35;3,41;2637;66,56;96,59;LSOC;M;REVOL;René;UN PROJET POUR GRABELS;23;1518;38,31;57,57;LDVD;M;PRUNET;Bernard;GRABELS DEMAIN;6;1119;28,24;42,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;142;Lodève;5236;1086;20,74;4150;79,26;145;2,77;3,49;4005;76,49;96,51;LGC;F;TRANI;Bernadette;AGIR POUR LODEVE;23;2246;42,9;56,08;LMAJ;M;LECOU;Robert;'LODEVE J''Y CROIS';6;1759;33,59;43,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;145;Lunel;15654;4957;31,67;10697;68,33;445;2,84;4,16;10252;65,49;95,84;LUG;F;ARNAL GORONESKOUL;Muriel;ENSEMBLE @U FUTUR;7;4061;25,94;39,61;LDVD;M;ARNAUD;Claude;BIEN VIVRE A LUNEL;28;6191;39,55;60,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;150;Marseillan;6030;1304;21,63;4726;78,37;153;2,54;3,24;4573;75,84;96,76;LUG;M;MERIC;Williams;UNION SERVICE MARSEILLAN ;7;2141;35,51;46,82;LDVD;M;MICHEL;Yves;MARSEILLAN DEMAIN;22;2432;40,33;53,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;151;Marsillargues;4359;957;21,95;3402;78,05;122;2,8;3,59;3280;75,25;96,41;LDVG;F;VIGNON;Bernadette;CHANGEONS ENSEMBLE;22;1653;37,92;50,4;LDVG;M;ULLES;Philippe;CONTINUONS ENSEMBLE;7;1627;37,33;49,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;154;Mauguio;12821;4162;32,46;8659;67,54;467;3,64;5,39;8192;63,9;94,61;LUG;M;SOREZ;Jean-Louis;PARLER VRAI AGIR JUSTE;6;3080;24,02;37,6;LDVG;M;BOURREL;Yvon;UN. DEMOC. MAUGUIO CARNON;27;5112;39,87;62,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;157;Mèze;8078;2440;30,21;5638;69,79;217;2,69;3,85;5421;67,11;96,15;LDVG;M;FRICOU;Henry;CAP SUR 2014;23;2920;36,15;53,86;LCMD;M;LECLERE;Gwénaël;DEMOCRATIE MEZOISE;5;1817;22,49;33,52;LMAJ;M;PHOCAS;Gilles;CITOYENS POUR AVENIR MEZE;1;684;8,47;12,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;161;Montady;2767;591;21,36;2176;78,64;43;1,55;1,98;2133;77,09;98,02;LSOC;M;SOST;Jean-Paul;MONTADY PASSION;6;1010;36,5;47,35;LDVG;M;CASTAN;Alain;MONTADY REAGIT HARMONIE;21;1123;40,59;52,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;HERAULT;172;Montpellier;137182;65078;47,44;72104;52,56;2055;1,5;2,85;70049;51,06;97,15;LVEC;M;ROUMÉGAS;Jean-Louis;BESOIN DES VERTS;5;13042;9,51;18,62;LGC;F;MANDROUX;Hélène;VIVRE NOUVELLE VILLE;47;36343;26,49;51,88;LMAJ;M;DOMERGUE;Jacques;'CHANGEONS D''AIR';9;20664;15,06;29,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
