"Mois";"Produit";"y2013";"y2014";"growth";"level"
8;"Autres.produits.médicaux.et.appareils.thérapeutiques";106,22;106,97;0,706081717190732;3
8;"Services.médicaux.et.paramédicaux";117,4;117;-0,340715502555367;3
8;"Services.dentaires";114,15;117,24;2,70696452036794;3
8;"Voitures.particulière";109,15;110,31;1,06275767292716;3
8;"Motocycles..bicyclettes.et.véhicules.à.traction.animale";98,7;98,33;-0,374873353596761;3
8;"Pièces.détachées.et.accessoires.pour.les.véhicules.personnels";127,63;129,82;1,71589751625794;3
8;"Carburants.et.lubrifiants.pour.les.véhicules.personnels";132,73;128,54;-3,1567844496346;3
8;"Entretien.et.réparations.des.véhicules.personnels";133,57;136,84;2,44815452571685;3
8;"Autres.services.liés.aux.véhicules.personnels";119,96;122,06;1,75058352784263;3
8;"Transport.de.voyageurs.par.chemin.de.fer";123,28;126,63;2,71739130434783;3
8;"Transport.de.voyageurs.par.route";99,35;102,26;2,92903875188728;3
8;"Transport.de.voyageurs.par.air";135,43;136,86;1,05589603485197;3
8;"Transport.de.voyageurs.par.mer.et.voies.navigables.intérieures";130,11;146,06;12,2588578894781;3
8;"Transports.combinés.de.voyageurs";118,1;121,99;3,29381879762913;3
8;"Autres.achats.de.services.de.transport";113,47;117,92;3,92174142945272;3
8;"Équipements.de.téléphonie.et.télécopie";30,5;26,22;-14,0327868852459;3
8;"Services.de.téléphonie.et.de.télécopie";73,16;74,17;1,38053581191908;3
8;"Appareils.de.réception..enregistrement.et.de.reproduction.du.son.et.de.l.image";33,7;30,02;-10,919881305638;3
8;"Équipement.photographique.et.cinématographique..instruments.d.optique";24,03;20,83;-13,3166874739909;3
8;"Équipement.informatique";41,55;38,78;-6,66666666666665;3
8;"Supports.d.enregistrement";72,45;71,26;-1,64251207729468;3
8;"Réparations.des.équipements.audiovisuels..photographiques.et.informatiques";114,64;117,39;2,39881367759944;3
8;"Biens.durables.pour.les.loisirs.d.intérieur.et.d.extérieur.y.c..les.instruments.de.musique";105,08;106,55;1,39893414541301;3
8;"Jeux..jouets.et.passe.temps";91,23;89,28;-2,13745478461033;3
8;"Équipements.de.sport..de.camping.et.de.loisirs.de.plein.air";103,8;103,27;-0,510597302504823;3
8;"Jardins..plantes.et.fleurs";106,85;113,23;5,97098736546562;3
8;"Animaux.d.agrément.et.produits.liés.y.c..les.services.vétérinaires.et.autres.pour.les.animaux.d.agrément";117,92;118,91;0,839552238805963;3
8;"Services.sportifs.et.récréatifs";124,86;128,09;2,58689732500401;3
8;"Services.culturels";116,32;118,55;1,91712517193947;3
8;"Édition";110,33;111,58;1,13296474213722;3
8;"Journaux.et.périodiques";118,58;123,75;4,35992578849722;3
8;"Imprimés.divers.et.articles.de.papeterie.et.de.dessin";110,86;110,88;0,0180407721450448;3
8;"Restaurants..cafés.et.similaires";116,67;120,09;2,93134481871946;3
8;"Cantines";118,39;120,62;1,88360503420897;3
8;"Salons.de.coiffure.et.esthétique.corporelle";114,48;116,02;1,34521313766596;3
8;"Appareils.électriques.pour.les.soins.personnels.et.autres.appareils..articles.et.produits.pour.les.soins.personnels";109,09;107,46;-1,49417911815932;3
8;"Articles.de.bijouterie..de.joaillerie.et.d.horlogerie";188,15;185,9;-1,1958543715121;3
8;"Autres.effets.personnels";114,2;114,61;0,359019264448324;3
8;"Assurances.liées.au.logement";129,21;133,08;2,99512421639192;3
8;"Assurances.liées.à.la.santé";121,48;124,92;2,83174185051036;3
8;"Assurances.liées.aux.transports";107,68;108,65;0,900817236255569;3
